LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
2654,zupa z marchwi,80,1,4,11.1
2655,zupa z m³odej kapusty,34,0.9,2.1,2.9
2656,zupa z kalarepek zabielana,29,1,1.9,2.6
2657,zupa z porów,32,1.1,1.4,4.6
2658,zupa z porów z makaronem,66,2.4,1.3,10.5
2659,zupa z porzeczek zagêszczana kisielem,45,1.2,0.4,13.8
2660,zupa z poziomek,90,2.7,3.5,12.2
2661,zupa z ró¿nych owoców,49,0.8,1.7,8.1
2662,zupa z rydzów,35,1.4,2.5,2
2663,zupa z soczewicy,30,1.4,1.4,3.2
2664,zupa z suszonych œliwek zabielana,85,1,2,15.4
2665,zupa z wiœni zagêszczana kisielem,31,0.4,0.3,7.6
2666,zupa z zielonego groszku,47,4.1,0.7,6.4
2667,zupa ziemniaczana na wieprzowinie,52,2.1,2.9,5.7
2668,zupa ziemniaczana z mro¿onki,40,1.4,0.3,10.8
2669,zupa ziemniaczana z zasma¿k¹,75,2.3,5.4,4.4
2670,zupa zimowa z mro¿onki,23,2,0.4,7
2671,¿eberka wieprzowe duszone,215,8,19.4,2.3
2672,¿eberka wieprzowe panierowane,221,8.5,17.5,9
2673,¿eberka wieprzowe w miodzie na ostro z kukurydz¹,260,11,20,9.6
2674,¿eberka wieprzowe z warzywami,120,5.4,10.5,3.3
2675,¿o³¹dki z indyka w sosie potrawkowym,111,10.5,5,6.5
2676,¿ur z kie³bas¹,93,7.4,6,2.8

