LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
1963,salsefia,33,3.8,0.1,19
1964,sa³ata,15,1.5,0.2,3
1965,sa³ata karbowana,15,1.5,0.2,3.2
1966,sa³ata lodowa,15,1,0.1,3.2
1967,sa³ata rzymska,18,1.4,0.4,3.3
1968,sa³ata skandynawska mro¿ona,28,2,0.3,7.1
1969,seler korzeniowy,18,1.7,0.2,6.7
1970,seler korzeniowy gotowany,46,1.9,0.3,8.9
1971,seler naciowy,12,1.1,0.2,3.7
1972,seler naciowy gotowany,20,1.2,0.3,4.1
1973,skorzonera,79,3.5,0.3,17.5
1974,skorzonera gotowana,79,2.8,0.2,15.2
1975,soczewica czerwona,331,54.9,3.3,56.7
1976,soczewica czerwona gotowana,114,8.2,0.9,20.2
1977,soczewica czerwona sma¿ona,280,25.2,2.2,56.3
1978,soja,390,35.2,20.2,33.1
1979,soja nasiona gotowane,347,22.5,13.5,22.8
1980,soja nasiona sma¿one,375,34.1,21,31.6
1981,szczaw,22,1,0.7,5.1
1982,szczaw gotowany,21,1.1,0.8,4.6
1983,szczypiorek,31,3.2,0.7,4.1
1984,szparagi,20,2.1,0.3,3.9
1985,szparagi gotowane,21,2.3,0.4,3.5
1986,szparagi konserwowe,21,2.2,0.8,2.6
1987,szparagi obrane bia³e w zalewie Rolnik,11,1.2,0.1,2.2
1988,szpinak,15,2.5,0.5,3.2
1989,szpinak duszony,50,2.9,3.2,4.1
1990,szpinak gotowany,18,2.6,0.4,3.3
1991,szpinak mro¿ony gotowany,22,2.6,0.4,3.5
1992,szpinak rozdrobniony mro¿ony,15,2.5,0.5,2.6
1993,tamarillo (cyfomandra) pomidor drzewiasty,24,0.3,0.5,4.1
1994,topinambur,77,2.1,0,17.7
1995,topinambur gotowany,19,0.3,0,3.9
1996,tradycyjna sa³atka jarzynowa mro¿ona,57,3.2,0.7,14.1
1997,warzywa na paprykarz mro¿one,18,1,0.3,4.5
1998,warzywa na patelniê z przyprawami orientalnymi,30,4.9,0.3,4.6
1999,w³oszczyzna krojona w paski mro¿ona,24,1.3,0.2,7.7
2000,ziemniak purée,120,2.3,2.7,21.6
2001,ziemniaki,75,1.7,0.2,19
2002,ziemniaki bez skóry opiekane,110,2.3,0.2,25.6
2003,ziemniaki d³ugo przechowywane,92,1.8,0.2,19.8
2004,ziemniaki gotowane,104,2.3,0.1,23.6
2005,ziemniaki póŸne,87,2,0.2,21.1
2006,ziemniaki póŸne gotowane,115,2,0.2,26.8
2007,ziemniaki s³odkie (bataty),88,1.9,0.2,21.5
2008,ziemniaki s³odkie (bataty) gotowane,74,1.5,0.2,17.9
2009,ziemniaki wczesne,67,1.9,0.2,16.6
2010,ziemniaki wczesne gotowane,93,2.1,0.2,21.3
2011,ziemniaki ze skórk¹ gotowane z sol¹,103,2.2,0.2,24
2012,bak³a¿any faszerowane pieczarkami,60,1.5,3.3,7.4
2013,bak³a¿any w cieœcie,110,3.7,4.5,16.7
2014,bak³a¿any z farszem miêsno-serowym,60,6.5,2.6,4.5
2015,bak³a¿any ze œmietan¹,69,1.5,4.5,6.5
2016,barszcz bia³y ¿urek,92,2.8,4.7,9.6
2017,barszcz czerwony czysty,36,3.5,1.5,3.3
2018,barszcz czerwony z botwink¹,30,1.4,1.8,2.4
2019,barszcz czerwony z torebki,20,2.5,5,9.4
2020,barszcz czerwony zabielany,35,2.1,1.3,3.2
2021,barszcz ukraiñski,47,2.6,1.4,7.7
2022,befsztyk jagniêcy,264,12.8,20.5,8
2023,befsztyk z karkówki wo³owej z cebul¹,260,18.7,19.8,1.7
2024,befsztyk z polêdwicy wo³owej z cebul¹,120,14.1,6.2,1.8
2025,befsztyk z rostbefu z cebul¹,150,15.3,9.1,1.5
2026,bitki wieprzowe,200,10.5,16.3,2.7
2027,bitki wo³owe,105,14,4.6,2.2
2028,bitki wo³owe w jarzynach,106,12.1,3.7,5.6
2029,boczek wieprzowy duszony ze s³odk¹ kapust¹,137,4.9,12.1,5.5
2030,boczek z farszem grzybowym,160,4.7,8.6,17
2031,boeuf Strogonow z polêdwicy wo³owej,115,12.6,6.3,2.1
2032,bób z papryk¹ i boczkiem,88,4.9,5.3,8.6
2033,bób z warzywami,56,2.3,2.7,6.5
2034,broku³y z bu³k¹ tart¹ i mas³em,84,4.5,5.4,6.7
2035,brukiew z marchwi¹ i jab³kami,44,1,1.9,9.6
2036,brukselka w winnym cieœcie,101,3.9,6.9,9.8
2037,brukselka z wody z bu³k¹ tart¹ i mas³em,131,4.4,7.3,11.9
2038,brukselka zapiekana pod beszamelem,95,5.5,5.6,8
2039,bulion wo³owy z jarzynami,82,7,5.3,1.3
2040,bryzol z polêdwicy wo³owej,255,25,16.9,1.6
2041,bulion wo³owy z kostki,9,0.6,0.4,0.7
2042,bulion z kury z jarzynami,87,6.5,5.7,1.3
2043,bulion z kury z kostki,10,0.6,0.3,0.7
2044,bulion z miêsa i warzyw,45,5.1,2.5,1.2
2045,bulion z kury z kostki,10,0.6,0.3,0.7
2046,buraki z jab³kami,70,1.7,2.2,12.1
2047,buraki z rodzynkami,92,2,2.8,16.5
2048,buraki zasma¿ane,90,2.2,4.8,11.3
2049,buraki ze œmietan¹,70,2.3,2.4,11.7
2050,cebula sma¿ona,115,1.7,9.7,7.7
2051,cebula w œmietanie,83,1.6,6.3,8.3
2052,ch³odnik na bia³ym barszczu z boæwin¹ jajkiem i ogórkiem,81,4.4,6,3.3
2053,ch³odnik na rosole z bocwin¹ jajkiem i ogórkiem,64,4.6,4.2,2.6
2054,ch³odnik pomidorowy,69,2.7,5.3,3
